,School Name,School Type,Latitude,Longitude,Median Starting Salary
0,Massachusetts Institute of Technology,Engineering,42.359243,-71.093226,"$72,200.00"
1,California Institute of Technology,Engineering,34.137349,-118.125878,"$75,500.00"
2,Harvey Mudd College,Engineering,34.106515,-117.709837,"$71,800.00"
3,Polytechnic University of New York-Brooklyn,Engineering,43.137701,-75.229841,"$62,400.00"
4,Cooper Union,Engineering,40.728148,-73.991609,"$62,200.00"
5,Worcester Polytechnic Institute,Engineering,42.274853,-71.808339,"$61,000.00"
6,Carnegie Mellon University,Engineering,40.44357,-79.941993,"$61,800.00"
7,Rensselaer Polytechnic Institute,Engineering,42.729978,-73.676646,"$61,100.00"
8,Georgia Institute of Technology,Engineering,33.77242,-84.394832,"$58,300.00"
9,Colorado School of Mines,Engineering,39.751443,-105.223364,"$58,100.00"
10,Stevens Institute of Technology,Engineering,40.744776,-74.025334,"$60,600.00"
11,Illinois Institute of Technology,Engineering,41.8313,-87.627321,"$56,000.00"
12,Wentworth Institute of Technology,Engineering,42.336632,-71.094983,"$53,000.00"
13,Virginia Polytechnic Institute and State University,Engineering,37.229012,-80.423675,"$53,500.00"
14,South Dakota School of Mines & Technology,Engineering,44.075439,-103.205753,"$55,800.00"
15,New Mexico Institute of Mining and Technology,Engineering,34.067041,-106.905211,"$51,000.00"
16,Rochester Institute of Technology,Engineering,43.084188,-77.67386,"$48,900.00"
17,Embry-Riddle Aeronautical University,Engineering,29.189903,-81.048367,"$52,700.00"
18,Tennessee Technological University,Engineering,36.174754,-85.504039,"$46,200.00"
19,University of Illinois at Urbana-Champaign,Party,40.104718,-88.229114,"$52,900.00"
20,University of Maryland-College Park,Party,38.988178,-76.944721,"$52,000.00"
21,University of California-Santa Barbara,Party,34.416297,-119.846426,"$50,500.00"
22,University of Texas-Austin,Party,30.282825,-97.738273,"$49,700.00"
23,State University of New York at Albany,Party,42.685489,-73.824662,"$44,500.00"
24,University of Florida,Party,29.64629,-82.347911,"$47,100.00"
25,Louisiana State University,Party,30.414986,-91.178921,"$46,900.00"
26,University of Georgia,Party,33.956262,-83.374039,"$44,100.00"
27,Pennsylvania State University,Party,40.7965,-77.862848,"$49,900.00"
28,Arizona State University,Party,33.417721,-111.934383,"$47,400.00"
29,Indiana University-Bloomington,Party,39.16609,-86.526559,"$46,300.00"
30,University of Iowa,Party,41.661935,-91.536425,"$44,700.00"
31,Randolph-Macon College,Party,37.76043,-77.478416,"$42,600.00"
32,University of Alabama-Tuscaloosa,Party,33.211875,-87.545978,"$41,300.00"
33,University of Mississippi,Party,34.365529,-89.537434,"$41,400.00"
34,University of New Hampshire,Party,43.135934,-70.932465,"$41,800.00"
35,West Virginia University,Party,39.634371,-79.954391,"$43,100.00"
36,University of Tennessee,Party,35.952082,-83.925852,"$43,800.00"
37,Ohio University,Party,39.326798,-82.100985,"$42,200.00"
38,Florida State University,Party,30.440756,-84.291921,"$42,100.00"
39,Bucknell University,Liberal Arts,40.954317,-76.882616,"$54,100.00"
40,Colgate University,Liberal Arts,42.819475,-75.536346,"$52,800.00"
41,Amherst College,Liberal Arts,42.372459,-72.518493,"$54,500.00"
42,Lafayette College,Liberal Arts,40.69956,-75.209786,"$53,900.00"
43,Bowdoin College,Liberal Arts,43.907134,-69.963942,"$48,100.00"
44,College of the Holy Cross,Liberal Arts,42.23752,-71.808214,"$50,200.00"
45,Occidental College,Liberal Arts,34.127124,-118.210908,"$51,900.00"
46,Washington and Lee University,Liberal Arts,37.788939,-79.443018,"$53,600.00"
47,Swarthmore College,Liberal Arts,39.905159,-75.354278,"$49,700.00"
48,Davidson College,Liberal Arts,35.499767,-80.843979,"$46,100.00"
49,Carleton College,Liberal Arts,44.462318,-93.154666,"$47,500.00"
50,Williams College,Liberal Arts,42.712725,-73.203132,"$51,700.00"
51,Pomona College,Liberal Arts,34.099027,-117.714556,"$48,600.00"
52,Wesleyan University,Liberal Arts,41.554665,-72.657146,"$46,500.00"
53,Bates College,Liberal Arts,44.105299,-70.203333,"$47,300.00"
54,Union College,Liberal Arts,36.870875,-83.888477,"$47,200.00"
57,University of Richmond,Liberal Arts,37.577393,-77.538806,"$48,600.00"
58,Vassar College,Liberal Arts,41.686895,-73.895088,"$46,000.00"
59,Middlebury College,Liberal Arts,44.009117,-73.176068,"$47,700.00"
60,Mount Holyoke College,Liberal Arts,42.256838,-72.575511,"$42,400.00"
61,Franklin and Marshall College,Liberal Arts,40.048045,-76.319037,"$49,100.00"
62,DePauw University,Liberal Arts,39.640904,-86.860363,"$41,400.00"
63,St. Olaf College,Liberal Arts,44.461529,-93.182039,"$45,300.00"
64,Colby College,Liberal Arts,44.564211,-69.66337,"$46,400.00"
65,Gettysburg College,Liberal Arts,39.836597,-77.236792,"$44,700.00"
66,Siena College,Liberal Arts,42.717602,-73.7526,"$45,500.00"
67,Smith College,Liberal Arts,42.318111,-72.638097,"$44,000.00"
68,Hamilton College,Liberal Arts,43.050245,-75.408195,"$49,200.00"
70,Wellesley College,Liberal Arts,42.291554,-71.306605,"$42,800.00"
71,Denison University,Liberal Arts,40.071505,-82.523272,"$42,000.00"
72,Oberlin College,Liberal Arts,41.291992,-82.216795,"$43,400.00"
73,University of Puget Sound,Liberal Arts,47.26308,-122.478982,"$46,600.00"
74,Colorado College,Liberal Arts,38.84886,-104.822697,"$38,500.00"
75,Reed College,Liberal Arts,45.480959,-122.630348,"$40,500.00"
76,Gustavus Adolphus College,Liberal Arts,44.323626,-93.972196,"$44,500.00"
77,Whitman College,Liberal Arts,46.069815,-118.331546,"$43,500.00"
78,Ursinus College,Liberal Arts,40.193023,-75.456505,"$42,100.00"
79,Juniata College,Liberal Arts,40.500523,-78.017292,"$41,800.00"
80,Wittenberg University,Liberal Arts,39.934029,-83.815445,"$39,200.00"
81,Grinnell College,Liberal Arts,41.747952,-92.722094,"$42,600.00"
82,Skidmore College,Liberal Arts,43.097035,-73.785335,"$41,600.00"
83,Moravian College,Liberal Arts,40.630947,-75.383638,"$42,500.00"
84,Lewis & Clark College,Liberal Arts,45.450882,-122.669137,"$38,900.00"
85,Fort Lewis College,Liberal Arts,37.275939,-107.867422,"$42,000.00"
86,Thomas Aquinas College,Liberal Arts,34.429009,-119.087141,"$41,500.00"
